,subject,Test,Score,Mu,Sigma,Tau,SCamp
210,15,RAPM,-1.0135173578011465,162.96345494500005,44.70359833000001,68.69525001,4.208144083969466
211,16,RAPM,-0.6209296065580149,168.18752525,53.45523159,80.571433165,4.912684563758397
212,17,RAPM,0.5568336471713803,144.55696629,36.39166761,102.760262175,4.905055865921791
213,18,RAPM,0.9494213984145116,145.216128305,40.567094515,147.77343081,4.384934036939312
214,19,RAPM,0.16424589592824848,117.39824352,59.83057011,155.064370935,3.8801504890895404
215,20,RAPM,-1.406105109044278,181.355747805,41.45140324,125.77285106,4.762500000000001
216,21,RAPM,0.16424589592824848,155.546076995,46.45849744,113.759184435,4.873773824650568
217,22,RAPM,-1.7986928602874095,135.54750346,34.71732096,104.8016951,4.0029255596043685
218,23,RAPM,0.9494213984145116,163.59702796,47.06635717,97.249310955,4.30131382978724
219,24,RAPM,-0.6209296065580149,154.794510385,94.232538095,166.20908179999995,6.075220472440939
220,25,RAPM,0.5568336471713803,148.12515824000005,23.28758836,103.882306395,3.701905604719767
221,26,RAPM,0.16424589592824848,176.14735461499995,76.22201436,143.560290795,3.3823853868194824
222,27,RAPM,-0.6209296065580149,146.21798478,50.042045985,92.869973855,4.6151861702127635
223,28,RAPM,-0.2283418553148831,153.41287338,37.91564044,157.35076157,5.129818709209566
224,29,RAPM,1.7345969009007751,181.975544505,61.140314025,106.373291125,5.1248604802076585
225,30,RAPM,0.16424589592824848,178.56447497,51.57354787,96.133515415,4.562111176818451
226,31,RAPM,-1.0135173578011465,126.51021542,15.8000566,174.72826594,3.7199010654490148
227,32,RAPM,-0.6209296065580149,117.42233725,47.17172352,158.75719993,4.455168634064075
228,33,RAPM,0.9494213984145116,126.98288754,61.4822755,144.3962637,4.591192660550463
229,34,RAPM,0.5568336471713803,166.98547432499996,65.908124265,116.739650225,4.714100862641007
230,35,RAPM,-0.6209296065580149,136.893058445,39.785690185,141.77867178,3.6713547954393024
231,36,RAPM,0.5568336471713803,131.13728641,21.773096395000003,144.553224845,3.9498353658536622
232,37,RAPM,0.5568336471713803,161.54892688,62.635650645,95.439153295,5.632123510292527
233,38,RAPM,2.1271846521439066,145.82205493499995,46.942877695,199.50762562,5.639591993841418
234,39,RAPM,-0.2283418553148831,165.962056625,48.89931078,113.360207275,4.186615916955022
235,40,RAPM,0.9494213984145116,191.43715835,57.32743406,71.455605095,4.148546824542517
236,41,RAPM,0.16424589592824848,154.47520618,51.19414829,127.047888035,4.772863606981241
237,42,RAPM,-0.2283418553148831,180.68477815,61.248297135,113.21878572,3.452673796791447
238,43,RAPM,-0.6209296065580149,155.645891535,47.301517735,101.81245852,4.420708232445514
239,44,RAPM,-1.406105109044278,164.88624867,91.74958584,156.33141367,4.872095516569201
240,45,RAPM,0.16424589592824848,154.714976665,59.03614511,155.240928025,5.481244870041037
